x,y,species cloglog values
1.0,1.0,0.050329346
2.0,2.0,0.11424692
3.0,3.0,0.34647346
4.0,4.0,0.2131699
5.0,5.0,0.5870198
6.0,6.0,0.020214545
7.0,7.0,0.6896311
8.0,8.0,0.523565
9.0,9.0,0.11703616
10.0,10.0,0.45356682
11.0,11.0,0.124674916
12.0,12.0,0.15041725
13.0,13.0,0.54980457
14.0,14.0,0.080884635
15.0,15.0,0.7024491
16.0,16.0,0.61977166
17.0,17.0,0.4437329
18.0,18.0,0.05811698
19.0,19.0,0.53975415
20.0,20.0,0.24788827
21.0,21.0,0.12025122
22.0,22.0,0.4436883
23.0,23.0,0.3595138
24.0,24.0,0.44270137
25.0,25.0,0.012626761
26.0,26.0,0.027168967
27.0,27.0,0.074551456
28.0,28.0,0.060542367
29.0,29.0,0.24784496
30.0,30.0,0.64677805
31.0,31.0,0.87119967
32.0,32.0,0.6904693
33.0,33.0,0.5130298
34.0,34.0,0.40516606
35.0,35.0,0.41639674
36.0,36.0,0.42257968
37.0,37.0,0.11409729
38.0,38.0,0.75033087
39.0,39.0,0.018404197
40.0,40.0,0.67372996
41.0,41.0,0.44424137
42.0,42.0,0.05038786
43.0,43.0,0.7480813
44.0,44.0,0.307423
45.0,45.0,0.041508026
46.0,46.0,0.6851861
47.0,47.0,0.7993805
48.0,48.0,0.4823201
49.0,49.0,0.35722083
50.0,50.0,0.3704849
51.0,51.0,0.812465
52.0,52.0,0.6880127
53.0,53.0,0.010564422
54.0,54.0,0.97150266
55.0,55.0,0.045143086
56.0,56.0,0.4168867
57.0,57.0,0.012913975
58.0,58.0,0.050197445
59.0,59.0,0.29559597
60.0,60.0,0.84933656
61.0,61.0,0.3535959
62.0,62.0,0.54009527
63.0,63.0,0.38103938
64.0,64.0,0.6004373
65.0,65.0,0.82773215
66.0,66.0,0.63825476
67.0,67.0,0.0063024103
68.0,68.0,0.56447697
69.0,69.0,0.53638405
70.0,70.0,0.1898047
71.0,71.0,0.32744914
72.0,72.0,0.010589104
73.0,73.0,0.15001391
74.0,74.0,0.23286027
75.0,75.0,0.26371333
76.0,76.0,0.0042475313
77.0,77.0,0.31896707
78.0,78.0,0.60387385
79.0,79.0,0.40240178
80.0,80.0,0.072221115
81.0,81.0,0.84870404
82.0,82.0,0.58267367
83.0,83.0,0.4852782
84.0,84.0,0.24872306
85.0,85.0,0.5155008
86.0,86.0,0.47502202
87.0,87.0,0.031344526
88.0,88.0,0.04176954
89.0,89.0,0.16987616
90.0,90.0,0.02657524
91.0,91.0,0.3221194
92.0,92.0,0.4447664
93.0,93.0,0.36750785
94.0,94.0,0.39077726
95.0,95.0,0.28001702
96.0,96.0,0.13885808
97.0,97.0,0.2639675
98.0,98.0,0.46209204
99.0,99.0,0.12032591
100.0,100.0,0.48260257
101.0,101.0,0.6436106
102.0,102.0,0.7702749
103.0,103.0,0.63469476
104.0,104.0,0.23287201
105.0,105.0,0.21493377
