Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.04076E-8,0.000004041,0.000232726,1,0,0
6.09083E-8,0.000014765,0.000350777,0.9997921,0,0
6.21854E-8,0.000027178,0.000358132,0.9995842,0,0
1.47689E-7,0.000054824,0.000850347,0.999376299,0,0
1.6688E-7,0.000102852,0.000960785,0.999064449,0,0
2.04616E-7,0.000270271,0.00117792,0.998128898,0,0
3.17866E-7,0.000530717,0.001829271,0.997089397,0,0
3.98198E-7,0.001039559,0.002291043,0.995634096,0,0
6.71134E-7,0.002547905,0.003858352,0.992723493,0,0
8.82074E-7,0.005039689,0.005067971,0.989397089,0,0
1.17012E-6,0.010012133,0.006717379,0.984407484,0,0
1.75311E-6,0.025083725,0.010047325,0.973804574,0,0
2.31673E-6,0.050161648,0.013255986,0.961018711,0,0
3.1312E-6,0.100021717,0.017874432,0.941995842,0,0
4.43791E-6,0.200398551,0.02523895,0.914137214,0,0
5.80362E-6,0.300158463,0.032876989,0.893866944,0,0
6.74468E-6,0.400550838,0.038105199,0.877338877,0,0
7.90339E-6,0.500778613,0.044503813,0.863097713,0,0
8.95381E-6,0.600456591,0.050267645,0.850831601,0,0
9.92584E-6,0.700410147,0.05557034,0.83981289,0,0
1.04769E-5,0.750443333,0.058563475,0.834719335,0,0
1.10022E-5,0.800809638,0.061407789,0.82983368,0,0
1.20192E-5,0.90090208,0.066889804,0.820790021,0,0
1.28222E-5,1.000443743,0.071195708,0.812474012,0,0
1.36109E-5,1.100962515,0.075406069,0.804573805,0,0
1.43465E-5,1.200239089,0.079315377,0.797193347,0,0
1.51867E-5,1.300616882,0.083760538,0.79012474,0,0
1.59334E-5,1.400246729,0.087692634,0.783471933,0,0
1.66662E-5,1.501216807,0.091535357,0.777027027,0,0
1.84847E-5,1.751600858,0.101001725,0.762162162,0,0
2.01534E-5,2.000737948,0.109601498,0.748752599,0,0
2.16091E-5,2.251339882,0.117036219,0.736278586,0,0
2.31357E-5,2.500130107,0.12476635,0.724740125,0,0
2.46722E-5,2.752137165,0.132478359,0.713825364,0,0
2.60356E-5,3.00072838,0.139264563,0.703638254,0,0
2.77247E-5,3.251046219,0.147598304,0.693970894,0.012987013,0
2.91958E-5,3.501271394,0.15479123,0.684823285,0.012987013,0
3.04942E-5,3.752012554,0.161088839,0.676091476,0.012987013,0
3.17351E-5,4.000748073,0.167063481,0.667775468,0.012987013,0
3.31891E-5,4.250990997,0.174010726,0.65977131,0.012987013,0
3.41414E-5,4.500583715,0.178528994,0.652079002,0.012987013,0
3.53003E-5,4.750514539,0.183994494,0.644594595,0.012987013,0
3.66871E-5,5.002941014,0.190486995,0.637318087,0.012987013,0
3.79851E-5,5.253163562,0.196516592,0.63035343,0.012987013,0
3.89824E-5,5.503294265,0.201119172,0.623596674,0.012987013,0
4.01636E-5,5.752608725,0.206536047,0.617047817,0.012987013,0
4.11227E-5,6.000461221,0.210907619,0.610706861,0.012987013,0
4.25153E-5,6.250984963,0.217211834,0.604469854,0.025974026,0
4.34964E-5,6.500631302,0.221623333,0.598440748,0.025974026,0
4.45773E-5,6.75188608,0.22645444,0.592515593,0.025974026,0
4.56053E-5,7.000325636,0.231021592,0.586798337,0.038961039,0
