X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.681608733656044E-4,92.24592101156647,0.932569914337572
2.0,2.0,train,4.4686334748667185E-4,90.92706864705075,0.9237690421336814
3.0,3.0,train,2.7394830238372692E-5,3.2021608446100926,0.14597736286811003
4.0,4.0,train,4.2079801418299834E-5,6.172640331143603,0.2152458629315992
5.0,5.0,train,1.8845583584224988E-4,48.146534413782184,0.662276816415338
6.0,6.0,train,3.1215496168539335E-4,76.62766125518584,0.8343786006072333
7.0,7.0,train,2.7245260148785915E-4,69.41484545924641,0.791821701729365
8.0,8.0,train,3.591995954407564E-4,83.54677402855216,0.8736922230053182
9.0,9.0,train,7.345519226886246E-5,13.590927323503363,0.3449940154041031
10.0,10.0,train,4.688893341032087E-4,92.28287529486764,0.9328522597560104
11.0,11.0,train,2.703623638810216E-4,68.96998810130081,0.7893000801458813
12.0,12.0,train,7.083832808523292E-5,12.90640057828143,0.33504602304412434
13.0,13.0,train,1.5698647913835612E-4,38.489010046900596,0.5951591906759762
14.0,14.0,train,2.870467662196231E-4,72.0053635015591,0.8086066491387708
15.0,15.0,train,1.6871987719822756E-4,41.9838550256266,0.62161654368125
16.0,16.0,train,2.91939764489349E-4,73.05572789879993,0.8139256231281278
17.0,17.0,train,2.174438662079511E-4,56.36600864481528,0.7142115161716509
18.0,18.0,train,2.1640079058754595E-4,56.0886319613826,0.7124892607266087
19.0,19.0,train,1.7611966394448327E-4,44.22130083704426,0.6374057509378743
20.0,20.0,train,2.1355009293254516E-4,55.31374723010694,0.7077292550901642
21.0,21.0,train,1.3250886944468447E-4,30.5146866285962,0.5338590962086234
22.0,22.0,train,5.505135672281957E-5,9.002805490750779,0.27174393804000785
23.0,23.0,train,1.7559309856951728E-4,44.065299894078294,0.6363043036397706
24.0,24.0,train,2.672911349712864E-4,68.50842577241787,0.7855394950702791
25.0,25.0,train,1.8765712582777442E-4,47.89554948179048,0.6607194846930039
26.0,26.0,train,2.0319812238837407E-4,52.53281588759021,0.6897714760770757
27.0,27.0,train,2.27723495432286E-4,59.40031992843824,0.7306423510688709
28.0,28.0,train,4.4676109421150076E-5,6.775765621555586,0.22689458129485363
29.0,29.0,train,1.8918669396638765E-4,48.344761182282426,0.6636955859072668
30.0,30.0,train,3.1267642075883615E-4,76.72100189179938,0.8348753259566979
31.0,31.0,train,4.397333007622287E-4,90.27083929048197,0.9205730609030498
32.0,32.0,train,2.7697569529347877E-4,70.1671793007427,0.7971754456055237
33.0,33.0,train,1.5240587318090523E-4,37.019773718270685,0.584335361398909
34.0,34.0,train,3.684282110761144E-4,84.51292174926887,0.8802311486608575
35.0,35.0,train,1.8766633630513916E-4,47.89851759169023,0.66073748422689
36.0,36.0,train,1.9405396259176207E-4,49.73985627319975,0.6729932932775945
37.0,37.0,train,1.3841480163410727E-4,32.40060129132289,0.5494499975518861
38.0,38.0,train,2.2832220421391204E-4,59.574818276101595,0.7315696676276329
39.0,39.0,train,7.666637252955427E-5,14.454371325885509,0.35699816331014467
40.0,40.0,train,1.1874209147531613E-4,26.33425489578888,0.49538978247182575
41.0,41.0,train,4.488397238601076E-4,91.10679350850407,0.9246319472716679
42.0,42.0,train,3.503151241080888E-4,82.59388129781827,0.867060086710338
43.0,43.0,train,3.308976642433484E-4,80.02973421085242,0.8513277536646147
44.0,44.0,train,1.4948927116033254E-4,36.10935056143002,0.5772932133630324
45.0,45.0,train,2.0319117408660583E-4,52.53138230832866,0.6897590595308497
46.0,46.0,train,2.089559487680355E-4,54.09668020598332,0.6998916985040806
47.0,47.0,train,5.61538377822004E-5,9.281792431625155,0.2763540207605695
48.0,48.0,train,6.416853162039487E-4,96.88389307935277,0.9751819988277883
49.0,49.0,train,0.0011232644074801973,99.99919009649,0.9984509920733629
50.0,50.0,train,1.5902248724678283E-4,38.91320639598923,0.5998792925140967
51.0,51.0,train,4.217326813784621E-4,89.26002222754634,0.9118955214068771
52.0,52.0,train,3.9564704893769054E-4,86.89382931037201,0.8976109466876439
53.0,53.0,train,9.193378698195629E-4,99.29686025406018,0.9949858870870011
54.0,54.0,train,9.690693660489852E-4,99.66736754908656,0.9962348149577657
55.0,55.0,train,1.6967278865668238E-4,42.23848085550147,0.6236877580879017
56.0,56.0,train,2.3318169077166744E-4,60.76165796965612,0.7389791804285606
57.0,57.0,train,2.453277515499905E-4,63.682314486905724,0.7566167468185588
58.0,58.0,train,5.60080670760699E-4,94.80291417373533,0.9602892473401801
59.0,59.0,train,3.2735970762771797E-4,79.46732777440116,0.8482668694649171
60.0,60.0,train,3.683676638330111E-4,84.50201214808976,0.8801893708468119
61.0,61.0,train,3.927450356946196E-4,86.70798159173079,0.89588503123491
62.0,62.0,train,5.203617184114034E-4,93.95792101653035,0.950080683580408
63.0,63.0,train,5.798769799077583E-4,95.34376026712651,0.964568798405621
64.0,64.0,train,5.698520140562066E-4,95.04176685411889,0.9624625964307909
65.0,65.0,train,1.3551805457073378E-4,31.4501995016846,0.5418692232617495
66.0,66.0,train,2.1698252300196344E-4,56.24740882045264,0.7134510537684216
67.0,67.0,train,5.664499840295702E-5,9.429034838524627,0.278398427091778
68.0,68.0,train,2.893425669252232E-4,72.48789606722457,0.8111209910849317
69.0,69.0,train,4.521868651757187E-4,91.33031964699772,0.9260711209369146
70.0,70.0,train,1.0061030982585578E-4,20.877555232141457,0.4398371368902876
71.0,71.0,train,8.974080523229011E-5,17.829318704223166,0.40364433255705323
72.0,72.0,train,1.4445611514862043E-4,34.331900434254194,0.5648588948524599
73.0,73.0,train,2.2590447049045448E-4,58.931648183459615,0.7278052363256726
74.0,74.0,train,1.7123016645049518E-4,42.78165211524212,0.6270484410285737
75.0,75.0,train,1.3082200246100807E-4,30.01733936072388,0.5293077339363453
76.0,76.0,train,3.1782681801646165E-4,77.59936506260287,0.8397021143371777
77.0,77.0,train,2.2959928315302225E-4,59.87260188803362,0.7335370313917564
