x,y,species cloglog values
1.0,1.0,0.03200052
2.0,2.0,0.08311502
3.0,3.0,0.2981819
4.0,4.0,0.5451603
5.0,5.0,0.016613994
6.0,6.0,0.5779997
7.0,7.0,0.5016098
8.0,8.0,0.047937457
9.0,9.0,0.768525
10.0,10.0,0.36416388
11.0,11.0,0.17868598
12.0,12.0,0.18203287
13.0,13.0,0.09443043
14.0,14.0,0.033680987
15.0,15.0,0.5413847
16.0,16.0,0.1498074
17.0,17.0,0.8229969
18.0,18.0,0.1244912
19.0,19.0,0.11559108
20.0,20.0,0.009494769
21.0,21.0,0.4012069
22.0,22.0,0.0721792
23.0,23.0,0.18550742
24.0,24.0,0.5188885
25.0,25.0,0.016798487
26.0,26.0,0.073467486
27.0,27.0,0.4165841
28.0,28.0,0.10695873
29.0,29.0,0.5427736
30.0,30.0,0.6387608
31.0,31.0,0.34264037
32.0,32.0,0.24799207
33.0,33.0,0.28464833
34.0,34.0,0.4598996
35.0,35.0,0.48753047
36.0,36.0,0.05177468
37.0,37.0,0.041343
38.0,38.0,0.16823713
39.0,39.0,0.06960886
40.0,40.0,0.01905071
41.0,41.0,0.7180601
42.0,42.0,0.58623844
43.0,43.0,0.25747922
44.0,44.0,0.017896526
45.0,45.0,0.02333897
46.0,46.0,0.13677658
47.0,47.0,0.48750043
48.0,48.0,0.321633
49.0,49.0,0.39667583
50.0,50.0,0.23024572
51.0,51.0,0.6049207
52.0,52.0,0.21523339
53.0,53.0,0.2444114
54.0,54.0,0.6021429
55.0,55.0,0.13200551
56.0,56.0,0.032139998
57.0,57.0,0.60414624
58.0,58.0,0.78366506
59.0,59.0,0.69610995
60.0,60.0,0.7085673
61.0,61.0,0.58006316
62.0,62.0,0.8154666
63.0,63.0,0.54505754
64.0,64.0,0.36609286
65.0,65.0,0.13198537
66.0,66.0,0.52147985
67.0,67.0,0.0068684085
68.0,68.0,0.30727926
69.0,69.0,0.02206719
70.0,70.0,0.39143267
71.0,71.0,0.23843597
72.0,72.0,0.27985847
73.0,73.0,0.05265995
74.0,74.0,0.602758
75.0,75.0,0.060288448
76.0,76.0,0.5225116
77.0,77.0,0.50617385
78.0,78.0,0.8765241
79.0,79.0,0.20824471
80.0,80.0,0.69071484
81.0,81.0,0.09317501
82.0,82.0,0.51788723
83.0,83.0,0.03718087
84.0,84.0,0.7625334
85.0,85.0,0.35424054
86.0,86.0,0.25998437
87.0,87.0,0.3733423
88.0,88.0,0.2916789
89.0,89.0,0.69450396
90.0,90.0,0.18541493
91.0,91.0,0.9295904
92.0,92.0,0.39141953
93.0,93.0,0.95096165
94.0,94.0,0.7003475
95.0,95.0,0.6114567
96.0,96.0,0.008597797
97.0,97.0,0.084205896
98.0,98.0,0.48713353
99.0,99.0,0.3613136
100.0,100.0,0.56148005
101.0,101.0,0.020396996
102.0,102.0,0.26352492
103.0,103.0,0.54568934
104.0,104.0,0.00914785
105.0,105.0,0.5884858
106.0,106.0,0.48068744
107.0,107.0,0.5509104
108.0,108.0,0.26101583
109.0,109.0,0.4705931
110.0,110.0,0.0329808
111.0,111.0,0.6087802
