Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.87918E-8,0.000001879,0.000109422,1,0,0
4.55225E-8,0.000006431,0.000265049,0.999896352,0,0
6.26165E-8,0.000012693,0.000364559,0.999792703,0,0
7.3118E-8,0.000026292,0.000425687,0.999585406,0,0
1.25663E-7,0.000059348,0.000731489,0.999274461,0,0
1.42385E-7,0.00010064,0.000828785,0.998963516,0,0
2.5496E-7,0.000258543,0.00148357,0.998134328,0,0
3.28737E-7,0.000531899,0.001912454,0.997201493,0,0
4.68583E-7,0.001045331,0.002724915,0.995957711,0,0
6.9976E-7,0.002548126,0.004066518,0.993262852,0,0
9.91179E-7,0.005088876,0.005755167,0.9901534,0,0
1.32138E-6,0.010096864,0.007665054,0.985592869,0,0
1.81184E-6,0.025103319,0.010495178,0.97564262,0,0
2.37042E-6,0.050194609,0.013708473,0.963308458,0,0
3.11662E-6,0.100294361,0.017984844,0.944340796,0,0
4.54374E-6,0.200442255,0.026111957,0.91708126,0,0
5.69816E-6,0.300092213,0.032636799,0.896973466,0,0
6.83542E-6,0.400385918,0.03902198,0.880389718,0,0
7.86969E-6,0.500483895,0.04479226,0.866293532,0,0
8.87605E-6,0.600421439,0.050373573,0.853855721,0,0
9.77852E-6,0.700462304,0.055351017,0.84276534,0,0
1.01805E-5,0.75022539,0.057559503,0.837582919,0,0
1.06278E-5,0.800178827,0.0600114,0.832607794,0,0
1.17725E-5,0.900031863,0.066256348,0.823383085,0,0
1.25294E-5,1.001067729,0.070362675,0.814780265,0,0
1.33867E-5,1.100987649,0.074991949,0.806799337,0,0
1.41494E-5,1.200084238,0.079091119,0.79933665,0,0
1.48658E-5,1.300224603,0.082924979,0.792184909,0,0
1.55391E-5,1.40047562,0.086513535,0.785344113,0,0
1.62904E-5,1.500627914,0.090500992,0.778814262,0,0
1.81961E-5,1.750636711,0.100538346,0.76378524,0,0
2.01145E-5,2.000536972,0.110530545,0.750207297,0,0
2.18867E-5,2.251009551,0.119662088,0.737873134,0,0
2.34066E-5,2.500491012,0.127419437,0.726471808,0,0
2.48953E-5,2.751234938,0.13495133,0.715692371,0,0
2.63277E-5,3.002156144,0.142136742,0.705534826,0,0
2.77606E-5,3.25033526,0.149264894,0.695999171,0,0
2.93541E-5,3.50177396,0.157122264,0.686878109,0,0
3.06307E-5,3.750254916,0.163364806,0.67827529,0,0
3.20662E-5,4.001516835,0.170329449,0.669983416,0.012987013,0
3.33469E-5,4.250551643,0.176493925,0.662106136,0.012987013,0
3.46613E-5,4.502313949,0.182773049,0.654436153,0.012987013,0
3.58004E-5,4.752649056,0.188175537,0.647077114,0.012987013,0
3.71125E-5,5.000824168,0.19435467,0.640029022,0.012987013,0
3.8402E-5,5.250034185,0.200381815,0.633188226,0.012987013,0
3.97756E-5,5.503441815,0.20675225,0.626451078,0.025974026,0
4.1087E-5,5.753882823,0.212786509,0.620024876,0.025974026,0
4.20073E-5,6.002614114,0.216994092,0.61380597,0.025974026,0
4.31796E-5,6.253651662,0.222320966,0.607690713,0.025974026,0
4.44913E-5,6.504330406,0.228238525,0.601782753,0.025974026,0
4.55123E-5,6.751859847,0.232813287,0.59608209,0.025974026,0
4.64661E-5,7.000138894,0.23706283,0.590485075,0.038961039,0
4.74954E-5,7.253900727,0.24162195,0.58488806,0.038961039,0
4.87559E-5,7.504020138,0.24716782,0.579498342,0.038961039,0
4.97826E-5,7.750406569,0.251655705,0.57431592,0.038961039,0
5.08723E-5,8.001935373,0.256389056,0.569133499,0.038961039,0
5.19198E-5,8.253658511,0.260911283,0.564054726,0.038961039,0
5.27398E-5,8.504775733,0.264432053,0.559079602,0.038961039,0
5.39604E-5,8.750046905,0.269641739,0.554311774,0.038961039,0
5.49608E-5,9.001034876,0.273883754,0.549543947,0.038961039,0
5.57981E-5,9.250230601,0.277415562,0.544879768,0.051948052,0
5.68245E-5,9.503574375,0.281721398,0.540215589,0.051948052,0
5.79484E-5,9.750013633,0.286407197,0.535758706,0.051948052,0
5.87669E-5,10.000810725,0.289800164,0.531301824,0.064935065,0
6.02631E-5,10.250296894,0.29596112,0.52694859,0.077922078,0
6.13267E-5,10.505702839,0.300307981,0.522595357,0.077922078,0
6.2439E-5,10.753339709,0.304825081,0.51844942,0.077922078,0
6.34479E-5,11.00506514,0.308897465,0.514303483,0.077922078,0
6.45947E-5,11.254762168,0.313497206,0.510261194,0.077922078,0
6.56247E-5,11.50195418,0.317602533,0.506322554,0.077922078,0
6.6861E-5,11.753983409,0.322497658,0.502383914,0.077922078,0
6.78235E-5,12.003036423,0.326284084,0.498548922,0.077922078,0
6.92774E-5,12.250059288,0.331964126,0.494817579,0.077922078,0
7.02898E-5,12.501497707,0.335890832,0.491086235,0.077922078,0
7.14585E-5,12.756744176,0.340394779,0.487354892,0.090909091,0
7.21882E-5,13.001198441,0.343191589,0.483830846,0.090909091,0
7.29897E-5,13.255417896,0.346250157,0.480203151,0.090909091,0
7.37979E-5,13.504633913,0.349319667,0.476679104,0.090909091,0
7.4878E-5,13.750061012,0.353399253,0.473258706,0.090909091,0
7.5784E-5,14.006226242,0.356801586,0.46973466,0.090909091,0
7.68886E-5,14.250952385,0.360925725,0.46641791,0.090909091,0
7.79218E-5,14.506479151,0.364758834,0.462997512,0.090909091,0
7.86339E-5,14.756953764,0.367387735,0.459680763,0.090909091,0
7.96648E-5,15.002080355,0.371174082,0.456467662,0.090909091,0
8.05644E-5,15.250571905,0.374459421,0.453254561,0.090909091,0
8.1392E-5,15.501770662,0.377466647,0.450041459,0.090909091,0
8.25278E-5,15.755790384,0.381570743,0.446828358,0.090909091,0
8.34516E-5,16.004816594,0.384888629,0.443718905,0.090909091,0
8.43594E-5,16.256396521,0.388131543,0.440609453,0.090909091,0
8.53519E-5,16.502791945,0.39165764,0.437603648,0.103896104,0
8.63338E-5,16.751718466,0.395126127,0.434597844,0.116883117,0
8.74824E-5,17.003957371,0.399158386,0.43159204,0.116883117,0
8.8477E-5,17.25024604,0.402627978,0.428689884,0.116883117,0
8.95627E-5,17.5087187,0.406392965,0.42568408,0.116883117,0
9.02184E-5,17.75141556,0.408655163,0.422885572,0.116883117,0
9.11892E-5,18.005385376,0.411988606,0.419983416,0.116883117,0
9.22239E-5,18.253065061,0.415520826,0.417184909,0.116883117,0
9.32123E-5,18.503379559,0.41887531,0.414386401,0.116883117,0
9.40583E-5,18.756193903,0.421731167,0.411587894,0.116883117,0
9.4601E-5,19.001448219,0.423555682,0.408893035,0.116883117,0
9.55829E-5,19.258162755,0.426842241,0.406094527,0.116883117,0
9.64052E-5,19.507533762,0.429580033,0.403399668,0.116883117,0
9.72023E-5,19.759416369,0.43222153,0.400704809,0.116883117,0
9.81511E-5,20.003544719,0.435349938,0.398113599,0.116883117,0
9.89701E-5,20.259768896,0.438036483,0.39541874,0.12987013,0
9.95538E-5,20.507900271,0.439943274,0.392827529,0.12987013,0
1.00408E-4,20.758247739,0.442721849,0.390236318,0.12987013,0
1.0103E-4,21.010018149,0.444738384,0.387645108,0.12987013,0
1.01692E-4,21.253276323,0.446873374,0.385157546,0.12987013,0
1.02341E-4,21.508442219,0.448959277,0.382566335,0.12987013,0
1.02988E-4,21.75475011,0.451032426,0.380078773,0.12987013,0
1.03782E-4,22.00283859,0.453564546,0.377591211,0.12987013,0
1.04758E-4,22.253332404,0.456662413,0.375103648,0.12987013,0
1.05307E-4,22.505448141,0.45839634,0.372616086,0.142857143,0
1.06013E-4,22.759264269,0.460616028,0.370128524,0.142857143,0
1.06871E-4,23.004068765,0.463307015,0.36774461,0.142857143,0
1.07874E-4,23.251139405,0.466431547,0.365360697,0.142857143,0
1.08713E-4,23.500342742,0.469031213,0.362976783,0.142857143,0
1.09405E-4,23.751333676,0.471167043,0.360592869,0.142857143,0
1.10704E-4,24.004739342,0.475153403,0.358208955,0.142857143,0
1.11529E-4,24.260363279,0.477667794,0.355825041,0.142857143,0
1.12133E-4,24.506361673,0.479502401,0.353544776,0.142857143,0
1.12703E-4,24.753714925,0.481225272,0.351264511,0.142857143,0
1.13436E-4,25.002361256,0.483435379,0.348984245,0.142857143,0
1.14184E-4,25.252728806,0.485682198,0.34670398,0.142857143,0
1.14975E-4,25.504873333,0.488045016,0.344423715,0.142857143,0
1.15862E-4,25.758877804,0.49068268,0.342143449,0.142857143,0
1.16237E-4,26.002624792,0.491791447,0.339966833,0.142857143,0
1.17262E-4,26.259474079,0.494818033,0.337686567,0.142857143,0
1.18095E-4,26.506593781,0.497262624,0.33550995,0.142857143,0
1.18781E-4,26.755394204,0.499265285,0.333333333,0.142857143,0
1.19584E-4,27.005861707,0.501601589,0.331156716,0.142857143,0
1.20253E-4,27.25772047,0.50354116,0.3289801,0.142857143,0
1.21167E-4,27.511077593,0.506174013,0.326803483,0.142857143,0
1.21959E-4,27.754191248,0.508447255,0.324730514,0.142857143,0
1.22714E-4,28.011234041,0.510603924,0.322553897,0.142857143,0
1.24037E-4,28.258309392,0.514358241,0.320480929,0.142857143,0
1.24741E-4,28.507138359,0.516345629,0.31840796,0.142857143,0
1.2551E-4,28.757543381,0.518508357,0.316334992,0.142857143,0
1.26125E-4,29.00916898,0.520227969,0.314262023,0.142857143,0
1.27349E-4,29.262560902,0.523637286,0.312189055,0.142857143,0
1.28247E-4,29.505363692,0.526121511,0.310219735,0.155844156,0
1.28992E-4,29.762751677,0.52817233,0.308146766,0.168831169,0
1.29677E-4,30.008625593,0.530051055,0.306177446,0.168831169,0
1.30432E-4,30.255717379,0.532112849,0.304208126,0.168831169,0
1.30918E-4,30.503986824,0.533435349,0.302238806,0.168831169,0
1.31576E-4,30.753362656,0.535219039,0.300269486,0.168831169,0
1.32522E-4,31.004345408,0.537770405,0.298300166,0.168831169,0
1.33395E-4,31.257015758,0.54011673,0.296330846,0.168831169,0
1.34143E-4,31.511161756,0.54211516,0.294361526,0.168831169,0
1.34899E-4,31.75333835,0.544125873,0.292495854,0.168831169,0
