X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.824930574626049E-4,92.7951229713961,0.9397728752727068
2.0,2.0,train,4.797686680524453E-4,92.62281536438375,0.9388097799982654
3.0,3.0,train,3.079365421748908E-5,3.7787775139766286,0.1641584850265635
4.0,4.0,train,4.573944004580926E-5,6.810985569488005,0.23382747416292793
5.0,5.0,train,1.7124386617787534E-4,43.75035582439967,0.631081595495364
6.0,6.0,train,2.9274394931363637E-4,75.58820077403442,0.818171937669522
7.0,7.0,train,3.029423434528159E-4,77.31601112926492,0.8286557508475595
8.0,8.0,train,4.1765303064176477E-4,89.03104595455153,0.9121442351900253
9.0,9.0,train,7.04636123668901E-5,12.539458683227629,0.3365624973029224
10.0,10.0,train,4.440738588408466E-4,90.91006443348319,0.9246726092735524
11.0,11.0,train,2.3844584060083094E-4,63.38502450254341,0.7505526432687436
12.0,12.0,train,8.509466410408928E-5,16.43893124208721,0.39074569657802605
13.0,13.0,train,1.5847368359750975E-4,39.71950723015969,0.6026020141533489
14.0,14.0,train,2.638650490105679E-4,69.70902522038303,0.784873145262565
15.0,15.0,train,1.7592658673306263E-4,45.40337575025375,0.641005423823007
16.0,16.0,train,2.715987718140503E-4,71.64027995875362,0.7943463999824577
17.0,17.0,train,1.8447172536832982E-4,48.12097713652982,0.6584317191354769
18.0,18.0,train,2.2032467632085572E-4,58.992958343333356,0.7227914063516798
19.0,19.0,train,1.720953177809895E-4,44.00804415807571,0.6329062159126269
20.0,20.0,train,1.9648651931725462E-4,51.831574386321776,0.6815123875623796
21.0,21.0,train,1.3991677699895294E-4,33.401674419133016,0.5572532093510909
22.0,22.0,train,5.813723439295552E-5,9.80787449631439,0.28719130062067244
23.0,23.0,train,1.8389502085937472E-4,47.88749518911489,0.657282722494057
24.0,24.0,train,2.495936596384367E-4,66.27207111711623,0.7662312436462344
25.0,25.0,train,1.5275515954647724E-4,37.945034306418776,0.5891459176393137
26.0,26.0,train,1.549839055144905E-4,38.61806815214339,0.5944436675994007
27.0,27.0,train,2.2278829984067754E-4,59.558141571512394,0.7267398685876874
28.0,28.0,train,3.9257010458658374E-5,5.40777018816965,0.20435303660631066
29.0,29.0,train,1.9966460312809112E-4,52.95096082420122,0.6873522672454369
30.0,30.0,train,2.905153790860631E-4,75.22970955460447,0.8157969207290043
31.0,31.0,train,4.387845706834116E-4,90.52915444775407,0.9223163994012212
32.0,32.0,train,2.709487915313919E-4,71.50183554705994,0.7935665391873503
33.0,33.0,train,1.4997652183480683E-4,37.05328407942387,0.5824440437758984
34.0,34.0,train,3.9776191842980855E-4,87.51944067607202,0.9013552031592712
35.0,35.0,train,1.869561780425414E-4,49.03242440511093,0.6633377349628897
36.0,36.0,train,1.9155105811412761E-4,50.27462757039998,0.6722262635521004
37.0,37.0,train,1.3527217395355938E-4,31.89757088102568,0.5451151649652628
38.0,38.0,train,2.3383060944490223E-4,62.47614128889464,0.743757795147724
39.0,39.0,train,8.619698073602367E-5,16.717032710436897,0.3946439520125433
40.0,40.0,train,1.27980315623529E-4,29.433257109977095,0.5253840705776069
41.0,41.0,train,4.326286240304531E-4,90.00597672589204,0.9194811584412559
42.0,42.0,train,4.065432792877433E-4,88.02343386369319,0.9062726297888306
43.0,43.0,train,3.8683798035051497E-4,86.63779163247702,0.8948763490409969
44.0,44.0,train,1.576997718675285E-4,39.44386320383254,0.6008070552992829
45.0,45.0,train,2.0590710343104687E-4,54.97691860429395,0.69851325617698
46.0,46.0,train,2.358062714761938E-4,62.84616400922358,0.746688863614023
47.0,47.0,train,5.503168848052594E-5,9.022132578494698,0.2741835496778787
48.0,48.0,train,7.370634981063181E-4,97.66206352081863,0.9863229481427195
49.0,49.0,train,0.0014835035881318778,99.85047547556867,0.9998228782404186
50.0,50.0,train,1.771837846023549E-4,45.82138664241482,0.643623975990572
51.0,51.0,train,4.344768076555584E-4,90.14219250185714,0.9203430768931392
52.0,52.0,train,4.249123805440923E-4,89.6252668031465,0.9157807005198013
53.0,53.0,train,0.0011553663975159719,99.33369640224092,0.9988029307849696
54.0,54.0,train,9.289623306424496E-4,98.80111533265553,0.9955260911028632
55.0,55.0,train,1.5660026674148853E-4,39.14883580988525,0.5982429869153887
56.0,56.0,train,2.0906907451653838E-4,56.04565791994628,0.7040136328996196
57.0,57.0,train,2.782017043996547E-4,73.0559708903437,0.8021036730930943
58.0,58.0,train,4.923218889797367E-4,93.12494215216678,0.9431231726342124
59.0,59.0,train,2.8881199408521924E-4,75.02515427258953,0.813960704477204
60.0,60.0,train,3.19738540091418E-4,80.03139561623472,0.8446209199676895
61.0,61.0,train,3.7022545661799197E-4,85.4794762104118,0.8841988372078833
62.0,62.0,train,4.956658970569144E-4,93.2578740077804,0.9442200032011282
63.0,63.0,train,5.387498039835986E-4,94.8986107164988,0.9565968940603369
64.0,64.0,train,5.087778218846458E-4,93.73022297859215,0.9483204300456406
65.0,65.0,train,1.3794990904795123E-4,32.80258350999549,0.5521531114748182
66.0,66.0,train,2.2270418681510391E-4,59.52936655999729,0.7266059920928064
67.0,67.0,train,5.9989093066351085E-5,10.204607186637679,0.2948366922146901
68.0,68.0,train,3.026892842918753E-4,77.25715711893744,0.8284030713141664
69.0,69.0,train,5.089868863793703E-4,93.75176317285748,0.9483833072587506
70.0,70.0,train,1.0497499363551455E-4,22.352981785315226,0.4573473158354189
71.0,71.0,train,9.883194957376732E-5,20.216548530598697,0.4375842210529718
72.0,72.0,train,1.5597248080387023E-4,38.96236934189119,0.5967715977372396
73.0,73.0,train,2.3253600477712283E-4,62.00501516500781,0.7418187661410701
74.0,74.0,train,1.7796093909129278E-4,46.02063713531471,0.645233109030735
75.0,75.0,train,1.2841597966813272E-4,29.563744009163287,0.5265866165772264
76.0,76.0,train,2.769222739813632E-4,72.79117875981518,0.8006237754841787
77.0,77.0,train,2.1555697872501677E-4,57.673151335104755,0.7149874209282165
